Put 2, 22, 5, 30, 49, -4, -5, 1, 3 in increasing order.
-5, -4, 1, 2, 3, 5, 22, 30, 49
Put -8, 2, 4, 20, 3, 11, 0, -86, 8 in ascending order.
-86, -8, 0, 2, 3, 4, 8, 11, 20
Put 6, 5, -2, -4, 1, 96, 8, 421, 3 in increasing order.
-4, -2, 1, 3, 5, 6, 8, 96, 421
Put 0, -3, 11, -6, 9, 2, 5, -9, 4 in descending order.
11, 9, 5, 4, 2, 0, -3, -6, -9
Sort -6, 8, -5, 74, 4, 3, 16, 0, 18.
-6, -5, 0, 3, 4, 8, 16, 18, 74
Put 7, 4, 494, 22, 0, -4, 5, -5, 3 in increasing order.
-5, -4, 0, 3, 4, 5, 7, 22, 494
Sort 6, 3, 5, 0, -44, 4, 44, 23, 63 in decreasing order.
63, 44, 23, 6, 5, 4, 3, 0, -44
Sort 24, 80, 6, 1, 9, 3, 11, -6, -5 in increasing order.
-6, -5, 1, 3, 6, 9, 11, 24, 80
Sort -9, -5, -8, 2, 3, 149, 1, 4, 5.
-9, -8, -5, 1, 2, 3, 4, 5, 149
Put 1, 104, 6, 2, 0, 7, -452, 5, 4 in increasing order.
-452, 0, 1, 2, 4, 5, 6, 7, 104
